Year,Sensex,USD_INR,Gold,Property,Sensex_Rebased,USD_INR_Rebased,Gold_Rebased,Property_Rebased
1980,1400.0,1.5,615.0,100.0,100.0,100.0,100.0,100.0
1981,1460.0,1.786,556.0,105.0,104.28571428571429,119.06666666666668,90.40650406504065,105.0
1982,1520.0,2.072,497.0,110.0,108.57142857142857,138.13333333333333,80.8130081300813,110.00000000000001
1983,1580.0,2.358,438.0,115.0,112.85714285714286,157.20000000000002,71.21951219512195,114.99999999999999
1984,1640.0,2.644,379.0,120.0,117.14285714285715,176.26666666666668,61.6260162601626,120.0
1985,1700.0,2.93,320.0,125.0,121.42857142857142,195.33333333333334,52.03252032520326,125.0
1986,1960.0,3.3000000000000003,332.6,130.0,140.0,220.00000000000003,54.081300813008134,130.0
1987,2220.0,3.67,345.2,135.0,158.57142857142856,244.66666666666669,56.130081300813,135.0
1988,2480.0,4.04,357.8,140.0,177.14285714285714,269.3333333333333,58.17886178861789,140.0
1989,2740.0,4.41,370.4,145.0,195.7142857142857,294.0,60.22764227642276,145.0
1990,3000.0,4.78,383.0,150.0,214.28571428571428,318.6666666666667,62.27642276422765,150.0
1991,5939.0,5.12,385.3333333333333,160.0,424.2142857142857,341.33333333333337,62.65582655826558,160.0
1992,8878.0,5.46,387.6666666666667,170.0,634.1428571428571,364.0,63.03523035230353,170.0
1993,11817.0,5.8,390.0,180.0,844.0714285714286,386.6666666666667,63.41463414634146,180.0
1994,10000.0,8.61,384.0,195.0,714.2857142857143,573.9999999999999,62.4390243902439,195.0
1995,9500.0,8.35,387.0,210.0,678.5714285714286,556.6666666666666,62.926829268292686,210.0
1996,12250.0,8.315,337.0,225.0,875.0,554.3333333333333,54.796747967479675,225.0
1997,15000.0,8.28,287.0,240.0,1071.4285714285713,552.0,46.666666666666664,240.0
1998,9800.0,8.28,290.0,250.0,700.0,552.0,47.15447154471545,250.0
1999,12400.0,8.28,284.5,265.0,885.7142857142858,552.0,46.260162601626014,265.0
2000,15000.0,8.28,279.0,280.0,1071.4285714285713,552.0,45.36585365853659,280.0
2001,14975.0,8.261999999999999,325.8,320.0,1069.642857142857,550.8,52.97560975609756,320.0
2002,14950.0,8.244,372.6,360.0,1067.857142857143,549.5999999999999,60.58536585365854,360.0
2003,14925.0,8.225999999999999,419.4,400.0,1066.0714285714287,548.3999999999999,68.1951219512195,400.0
2004,14900.0,8.208,466.2,440.0,1064.2857142857142,547.2,75.8048780487805,440.00000000000006
2005,14875.0,8.19,513.0,480.0,1062.5,546.0,83.41463414634146,480.0
2006,21343.5,7.744999999999999,674.5,530.0,1524.5357142857142,516.3333333333333,109.67479674796748,530.0
2007,27812.0,7.3,836.0,580.0,1986.5714285714287,486.66666666666663,135.9349593495935,580.0
2008,14387.0,6.83,869.0,610.0,1027.642857142857,455.33333333333337,141.3008130081301,610.0
2009,18711.0,6.8,1139.5,630.0,1336.5,453.3333333333333,185.28455284552845,630.0
2010,23035.0,6.77,1410.0,650.0,1645.357142857143,451.33333333333326,229.2682926829268,650.0
2011,22810.8,6.659999999999999,1340.0,698.0,1629.3428571428572,443.99999999999994,217.8861788617886,698.0
2012,22586.6,6.55,1270.0,746.0,1613.3285714285712,436.66666666666663,206.5040650406504,746.0
2013,22362.4,6.4399999999999995,1200.0,794.0,1597.3142857142857,429.3333333333333,195.1219512195122,794.0
2014,22138.2,6.33,1130.0,842.0,1581.3,422.0,183.739837398374,842.0
2015,21914.0,6.22,1060.0,890.0,1565.2857142857142,414.66666666666663,172.3577235772358,890.0
2016,23224.333333333332,6.346666666666667,1133.3333333333333,943.3333333333334,1658.8809523809523,423.1111111111111,184.28184281842817,943.3333333333334
2017,24534.666666666668,6.473333333333333,1206.6666666666667,996.6666666666666,1752.4761904761906,431.55555555555554,196.2059620596206,996.6666666666666
2018,25845.0,6.6,1280.0,1050.0,1846.0714285714284,439.99999999999994,208.13008130081303,1050.0
2019,26538.0,6.75,1585.0,1100.0,1895.5714285714287,450.0,257.7235772357723,1100.0
2020,27231.0,6.9,1890.0,1150.0,1945.0714285714287,460.00000000000006,307.3170731707317,1150.0
2021,24685.0,6.9625,1992.5,1182.5,1763.2142857142856,464.1666666666667,323.9837398373984,1182.5
2022,22139.0,7.025,2095.0,1215.0,1581.357142857143,468.33333333333337,340.6504065040651,1215.0
2023,19593.0,7.0875,2197.5,1247.5,1399.5,472.50000000000006,357.3170731707317,1247.5
2024,17047.0,7.15,2300.0,1280.0,1217.642857142857,476.6666666666667,373.9837398373984,1280.0
2025,18273.5,7.2,3963.5,1315.0,1305.25,480.0,644.4715447154471,1315.0
2026,19500.0,7.25,5627.0,1350.0,1392.857142857143,483.3333333333333,914.959349593496,1350.0
