Year,Sensex,USD_INR,Gold,Property,Sensex_Rebased,USD_INR_Rebased,Gold_Rebased,Property_Rebased
1980,148.0,7.86,1330.0,100.0,100.0,100.0,100.0,100.0
1981,223.8,8.762,1490.0,113.6,151.21621621621622,111.47582697201017,112.03007518796993,113.6
1982,299.6,9.664,1650.0,127.2,202.43243243243242,122.95165394402035,124.06015037593986,127.2
1983,375.4,10.565999999999999,1810.0,140.8,253.64864864864862,134.4274809160305,136.09022556390977,140.8
1984,451.2,11.468,1970.0,154.4,304.86486486486484,145.9033078880407,148.1203007518797,154.4
1985,527.0,12.37,2130.0,168.0,356.0810810810811,157.3791348600509,160.15037593984962,168.0
1986,631.2,13.395999999999999,2344.0,191.4,426.4864864864865,170.4325699745547,176.2406015037594,191.4
1987,735.4,14.422,2558.0,214.8,496.89189189189193,183.48600508905852,192.33082706766916,214.8
1988,839.6,15.448,2772.0,238.2,567.2972972972973,196.53944020356232,208.42105263157893,238.19999999999996
1989,943.8,16.474,2986.0,261.6,637.7027027027027,209.59287531806615,224.51127819548873,261.6
1990,1048.0,17.5,3200.0,285.0,708.1081081081081,222.64631043256995,240.6015037593985,285.0
1991,1908.0,22.74,3450.0,340.0,1289.1891891891892,289.3129770992366,259.3984962406015,340.0
1992,4387.0,25.92,4330.0,480.0,2964.189189189189,329.7709923664122,325.5639097744361,480.0
1993,2200.0,30.49,4140.0,540.0,1486.4864864864865,387.913486005089,311.27819548872185,540.0
1994,2655.0,31.46,4410.0,595.0,1793.918918918919,400.2544529262086,331.57894736842104,595.0
1995,3110.0,32.43,4680.0,650.0,2101.3513513513512,412.59541984732823,351.8796992481203,650.0
1996,3488.2,34.932,4624.0,670.0,2356.8918918918916,444.4274809160305,347.6691729323308,670.0
1997,3866.4,37.434,4568.0,690.0,2612.4324324324325,476.2595419847328,343.4586466165414,690.0
1998,4244.6,39.936,4512.0,710.0,2867.9729729729734,508.0916030534351,339.2481203007519,710.0
1999,4622.8,42.438,4456.0,730.0,3123.5135135135133,539.9236641221374,335.0375939849624,730.0
2000,5001.0,44.94,4400.0,750.0,3379.054054054054,571.7557251908397,330.8270676691729,750.0
2001,3262.0,47.19,4300.0,810.0,2204.054054054054,600.3816793893129,323.30827067669173,810.0
2002,4793.75,46.4175,4975.0,970.0,3239.02027027027,590.5534351145038,374.0601503759398,969.9999999999999
2003,6325.5,45.644999999999996,5650.0,1130.0,4273.986486486487,580.7251908396946,424.812030075188,1130.0
2004,7857.25,44.8725,6325.0,1290.0,5308.9527027027025,570.8969465648855,475.56390977443607,1290.0
2005,9389.0,44.1,7000.0,1450.0,6343.918918918918,561.0687022900763,526.3157894736843,1450.0
2006,14837.5,42.725,8900.0,1925.0,10025.337837837837,543.5750636132316,669.172932330827,1925.0
2007,20286.0,41.35,10800.0,2400.0,13706.756756756758,526.0814249363867,812.03007518797,2400.0
2008,9647.0,43.5,12500.0,2900.0,6518.243243243243,553.4351145038167,939.8496240601503,2900.0
2009,15078.0,44.614999999999995,15500.0,3350.0,10187.837837837837,567.6208651399489,1165.4135338345866,3350.0
2010,20509.0,45.73,18500.0,3800.0,13857.432432432432,581.8066157760813,1390.9774436090227,3800.0
2011,20729.333333333332,49.986666666666665,22200.0,4600.0,14006.306306306305,635.9626802374893,1669.172932330827,4600.0
2012,20949.666666666668,54.24333333333333,25900.0,5400.0,14155.180180180181,690.1187446988973,1947.3684210526314,5400.0
2013,21170.0,58.5,29600.0,6200.0,14304.054054054055,744.2748091603053,2225.563909774436,6200.0
2014,23643.5,61.325,27800.0,6650.0,15975.337837837838,780.2162849872774,2090.225563909775,6650.0
2015,26117.0,64.15,26000.0,7100.0,17646.621621621623,816.1577608142494,1954.8872180451126,7100.0
2016,29434.0,65.56666666666668,27800.0,7333.333333333333,19887.83783783784,834.1815097540289,2090.225563909775,7333.333333333333
2017,32751.0,66.98333333333333,29600.0,7566.666666666667,22129.054054054053,852.2052586938082,2225.563909774436,7566.666666666667
2018,36068.0,68.4,31400.0,7800.0,24370.27027027027,870.2290076335878,2360.902255639098,7800.0
2019,41909.5,71.25,40000.0,8000.0,28317.22972972973,906.4885496183205,3007.5187969924814,8000.0
2020,47751.0,74.1,48600.0,8200.0,32264.189189189186,942.7480916030532,3654.135338345865,8200.0
2021,54295.5,76.35,50600.0,8900.0,36686.148648648654,971.3740458015266,3804.5112781954886,8900.0
2022,60840.0,78.6,52600.0,9600.0,41108.10810810811,999.9999999999998,3954.8872180451126,9600.0
2023,70420.0,81.05,62300.0,11050.0,47581.08108108108,1031.1704834605598,4684.21052631579,11050.0
2024,80000.0,83.5,72000.0,12500.0,54054.05405405405,1062.3409669211196,5413.533834586466,12500.0
2025,78000.0,84.5,75000.0,13500.0,52702.7027027027,1075.0636132315522,5639.097744360903,13500.0
2026,82000.0,85.5,79000.0,14500.0,55405.40540540541,1087.7862595419847,5939.849624060151,14500.0
