Year,Sensex,USD_INR,Gold,Property,Sensex_Rebased,USD_INR_Rebased,Gold_Rebased,Property_Rebased
1980,7116.0,226.0,615.0,100.0,100.0,100.0,100.0,100.0
1981,8315.4,228.4,556.0,108.0,116.8549747048904,101.06194690265487,90.40650406504065,108.0
1982,9514.8,230.8,497.0,116.0,133.70994940978076,102.12389380530973,80.8130081300813,115.99999999999999
1983,10714.2,233.2,438.0,124.0,150.5649241146712,103.18584070796459,71.21951219512195,124.0
1984,11913.6,235.6,379.0,132.0,167.41989881956155,104.24778761061945,61.6260162601626,132.0
1985,13113.0,238.0,320.0,140.0,184.27487352445192,105.30973451327435,52.03252032520326,140.0
1986,19563.5,214.25,335.25,175.0,274.9227093872962,94.80088495575221,54.51219512195122,175.0
1987,26014.0,190.5,350.5,210.0,365.5705452501405,84.2920353982301,56.99186991869919,210.0
1988,32464.5,166.75,365.75,245.0,456.2183811129848,73.78318584070797,59.47154471544715,245.00000000000003
1989,38915.0,143.0,381.0,280.0,546.8662169758292,63.27433628318584,61.951219512195124,280.0
1990,23848.0,144.0,383.0,320.0,335.13209668353005,63.716814159292035,62.27642276422765,320.0
1991,20379.5,135.5,366.5,295.0,286.3898257448005,59.95575221238938,59.59349593495935,295.0
1992,16911.0,127.0,350.0,270.0,237.64755480607081,56.19469026548673,56.91056910569105,270.0
1993,17896.666666666668,116.0,362.3333333333333,250.0,251.4989694584973,51.32743362831859,58.91598915989159,250.0
1994,18882.333333333332,105.0,374.6666666666667,230.0,265.3503841109237,46.46017699115044,60.92140921409215,229.99999999999997
1995,19868.0,94.0,387.0,210.0,279.2017987633502,41.5929203539823,62.926829268292686,210.0
1996,18651.4,96.6,365.4,196.0,262.1051152332771,42.743362831858406,59.41463414634146,196.0
1997,17434.8,99.2,343.8,182.0,245.00843170320405,43.89380530973451,55.90243902439025,182.0
1998,16218.2,101.8,322.2,168.0,227.91174817313097,45.04424778761062,52.390243902439025,168.0
1999,15001.6,104.4,300.6,154.0,210.8150646430579,46.19469026548673,48.87804878048781,154.0
2000,13785.0,107.0,279.0,140.0,193.71838111298482,47.34513274336283,45.36585365853659,140.0
2001,11181.5,116.0,294.5,130.0,157.1318156267566,51.32743362831859,47.88617886178862,130.0
2002,8578.0,125.0,310.0,120.0,120.5452501405284,55.309734513274336,50.40650406504065,120.0
2003,9923.8,123.4,415.2,118.0,139.4575604272063,54.60176991150443,67.51219512195121,118.0
2004,11269.6,121.8,520.4,116.0,158.3698707138842,53.89380530973451,84.6178861788618,115.99999999999999
2005,12615.4,120.2,625.6,114.0,177.2821810005621,53.1858407079646,101.72357723577237,113.99999999999999
2006,13961.2,118.6,730.8,112.0,196.19449128724003,52.477876106194685,118.82926829268293,112.00000000000001
2007,15307.0,117.0,836.0,110.0,215.10680157391792,51.76991150442478,135.9349593495935,110.00000000000001
2008,8859.0,103.0,869.0,105.0,124.49409780775717,45.57522123893805,141.3008130081301,105.0
2009,9243.0,98.75,1066.75,103.75,129.8903878583474,43.69469026548673,173.45528455284554,103.75000000000001
2010,9627.0,94.5,1264.5,102.5,135.2866779089376,41.8141592920354,205.609756097561,102.49999999999999
2011,10011.0,90.25,1462.25,101.25,140.68296795952782,39.93362831858407,237.7642276422764,101.25
2012,10395.0,86.0,1660.0,100.0,146.07925801011805,38.05309734513274,269.9186991869919,100.0
2013,13274.333333333334,97.66666666666667,1460.0,102.66666666666667,186.5420648304291,43.21533923303835,237.39837398373984,102.66666666666666
2014,16153.666666666668,109.33333333333333,1260.0,105.33333333333333,227.00487165074014,48.37758112094395,204.8780487804878,105.33333333333333
2015,19033.0,121.0,1060.0,108.0,267.46767847105116,53.53982300884957,172.3577235772358,108.0
2016,20715.2,118.0,1202.0,110.0,291.10736368746484,52.21238938053098,195.44715447154474,110.00000000000001
2017,22397.4,115.0,1344.0,112.0,314.74704890387864,50.88495575221239,218.53658536585368,112.00000000000001
2018,24079.6,112.0,1486.0,114.0,338.38673412029226,49.557522123893804,241.62601626016263,113.99999999999999
2019,25761.8,109.0,1628.0,116.0,362.026419336706,48.23008849557522,264.7154471544715,115.99999999999999
2020,27444.0,106.0,1770.0,118.0,385.66610455311974,46.902654867256636,287.8048780487805,118.0
2021,30198.0,118.25,1902.5,123.0,424.3676222596965,52.32300884955752,309.3495934959349,123.0
2022,32952.0,130.5,2035.0,128.0,463.0691399662732,57.743362831858406,330.89430894308947,128.0
2023,35706.0,142.75,2167.5,133.0,501.7706576728499,63.16371681415929,352.4390243902439,133.0
2024,38460.0,155.0,2300.0,138.0,540.4721753794266,68.58407079646017,373.9837398373984,138.0
2025,48655.0,152.5,3963.5,141.0,683.7408656548622,67.47787610619469,644.4715447154471,141.0
2026,58850.0,150.0,5627.0,144.0,827.0095559302979,66.3716814159292,914.959349593496,144.0
